ano,id_municipio,id_uf,sigla_uf,nome_municipio,pct_alfabetizados,meta_pct,nivel_meta,fonte_meta,gap_meta_pct,atingiu_meta,n_avaliados,ponto_corte,camada,delta_pp_ano_anterior
2021,1000001,11,RO,Municipio_RO_1,55.48,48.5,amostra_offline,dados sintéticos de demonstração,6.979999999999997,True,311,743,gold,
2022,1000001,11,RO,Municipio_RO_1,58.24,54.44,amostra_offline,dados sintéticos de demonstração,3.8000000000000043,True,436,743,gold,2.760000000000005
2023,1000001,11,RO,Municipio_RO_1,64.68,73.2,amostra_offline,dados sintéticos de demonstração,-8.519999999999996,False,630,743,gold,6.440000000000005
2021,1000002,11,RO,Municipio_RO_2,61.19,55.71,amostra_offline,dados sintéticos de demonstração,5.479999999999997,True,434,743,gold,
2022,1000002,11,RO,Municipio_RO_2,54.52,53.65,amostra_offline,dados sintéticos de demonstração,0.8700000000000045,True,651,743,gold,-6.669999999999995
2023,1000002,11,RO,Municipio_RO_2,75.5,69.72,amostra_offline,dados sintéticos de demonstração,5.780000000000001,True,126,743,gold,20.979999999999997
2021,1000003,11,RO,Municipio_RO_3,40.22,46.27,amostra_offline,dados sintéticos de demonstração,-6.050000000000004,False,472,743,gold,
2022,1000003,11,RO,Municipio_RO_3,59.3,56.5,amostra_offline,dados sintéticos de demonstração,2.799999999999997,True,605,743,gold,19.08
2023,1000003,11,RO,Municipio_RO_3,70.1,77.25,amostra_offline,dados sintéticos de demonstração,-7.150000000000006,False,527,743,gold,10.799999999999997
2021,1000004,12,AC,Municipio_AC_1,65.37,56.25,amostra_offline,dados sintéticos de demonstração,9.120000000000005,True,163,743,gold,
2022,1000004,12,AC,Municipio_AC_1,44.17,55.86,amostra_offline,dados sintéticos de demonstração,-11.689999999999998,False,128,743,gold,-21.200000000000003
2023,1000004,12,AC,Municipio_AC_1,54.58,65.67,amostra_offline,dados sintéticos de demonstração,-11.090000000000003,False,92,743,gold,10.409999999999997
2021,1000005,12,AC,Municipio_AC_2,54.02,43.98,amostra_offline,dados sintéticos de demonstração,10.040000000000006,True,138,743,gold,
2022,1000005,12,AC,Municipio_AC_2,63.0,60.88,amostra_offline,dados sintéticos de demonstração,2.1199999999999974,True,685,743,gold,8.979999999999997
2023,1000005,12,AC,Municipio_AC_2,73.19,74.87,amostra_offline,dados sintéticos de demonstração,-1.6800000000000068,False,536,743,gold,10.189999999999998
2021,1000006,12,AC,Municipio_AC_3,53.14,55.88,amostra_offline,dados sintéticos de demonstração,-2.740000000000002,False,462,743,gold,
2022,1000006,12,AC,Municipio_AC_3,61.61,54.34,amostra_offline,dados sintéticos de demonstração,7.269999999999996,True,309,743,gold,8.469999999999999
2023,1000006,12,AC,Municipio_AC_3,51.91,62.89,amostra_offline,dados sintéticos de demonstração,-10.980000000000004,False,678,743,gold,-9.700000000000003
2021,1000007,13,AM,Municipio_AM_1,63.98,56.0,amostra_offline,dados sintéticos de demonstração,7.979999999999997,True,466,743,gold,
2022,1000007,13,AM,Municipio_AM_1,57.12,57.98,amostra_offline,dados sintéticos de demonstração,-0.8599999999999994,False,723,743,gold,-6.859999999999999
2023,1000007,13,AM,Municipio_AM_1,87.54,76.44,amostra_offline,dados sintéticos de demonstração,11.100000000000009,True,310,743,gold,30.42000000000001
2021,1000008,13,AM,Municipio_AM_2,35.03,46.26,amostra_offline,dados sintéticos de demonstração,-11.229999999999997,False,392,743,gold,
2022,1000008,13,AM,Municipio_AM_2,76.92,67.18,amostra_offline,dados sintéticos de demonstração,9.739999999999995,True,695,743,gold,41.89
2023,1000008,13,AM,Municipio_AM_2,64.22,73.76,amostra_offline,dados sintéticos de demonstração,-9.540000000000006,False,510,743,gold,-12.700000000000003
2021,1000009,13,AM,Municipio_AM_3,57.63,51.5,amostra_offline,dados sintéticos de demonstração,6.130000000000003,True,797,743,gold,
2022,1000009,13,AM,Municipio_AM_3,63.08,64.79,amostra_offline,dados sintéticos de demonstração,-1.710000000000008,False,249,743,gold,5.449999999999996
2023,1000009,13,AM,Municipio_AM_3,82.31,76.37,amostra_offline,dados sintéticos de demonstração,5.939999999999998,True,536,743,gold,19.230000000000004
2021,1000010,14,RR,Municipio_RR_1,52.83,48.13,amostra_offline,dados sintéticos de demonstração,4.699999999999996,True,206,743,gold,
2022,1000010,14,RR,Municipio_RR_1,67.81,65.61,amostra_offline,dados sintéticos de demonstração,2.200000000000003,True,168,743,gold,14.980000000000004
2023,1000010,14,RR,Municipio_RR_1,64.81,66.73,amostra_offline,dados sintéticos de demonstração,-1.9200000000000017,False,307,743,gold,-3.0
2021,1000011,14,RR,Municipio_RR_2,55.68,43.7,amostra_offline,dados sintéticos de demonstração,11.979999999999997,True,97,743,gold,
2022,1000011,14,RR,Municipio_RR_2,48.48,62.5,amostra_offline,dados sintéticos de demonstração,-14.020000000000003,False,83,743,gold,-7.200000000000003
2023,1000011,14,RR,Municipio_RR_2,69.55,62.92,amostra_offline,dados sintéticos de demonstração,6.6299999999999955,True,777,743,gold,21.07
2021,1000012,14,RR,Municipio_RR_3,64.83,53.36,amostra_offline,dados sintéticos de demonstração,11.469999999999999,True,619,743,gold,
2022,1000012,14,RR,Municipio_RR_3,65.51,59.34,amostra_offline,dados sintéticos de demonstração,6.170000000000002,True,263,743,gold,0.6800000000000068
2023,1000012,14,RR,Municipio_RR_3,66.04,70.13,amostra_offline,dados sintéticos de demonstração,-4.089999999999989,False,737,743,gold,0.5300000000000011
