ano,id_uf,sigla_uf,pct_alfabetizados,meta_pct_media_mun,n_municipios,n_atingiram_meta,n_avaliados,meta_pct_uf,gap_meta_uf,pct_municipios_na_meta,delta_pp_ano_anterior
2023,11,RO,64.87,,52,0,0.0,,,0.0,
2024,11,RO,67.1,66.88307692307693,52,27,0.0,67.1,-0.0013461538461427836,51.92,2.2299999999999898
2024,12,AC,45.45,59.9,22,3,0.0,59.9,-14.452727272727273,13.64,
2023,13,AM,50.26,,62,0,0.0,,,0.0,
2024,13,AM,49.3,53.586129032258064,62,22,0.0,56.8,-7.504838709677415,35.48,-0.9600000000000009
2023,15,PA,46.37,,144,0,0.0,,,0.0,
2024,15,PA,48.8,51.930625,144,46,0.0,53.6,-4.801736111111111,31.94,2.4299999999999997
2023,16,AP,42.27,,16,0,0.0,,,0.0,
2024,16,AP,48.42,48.03375,16,6,0.0,47.6,0.8187500000000014,37.5,6.149999999999999
2023,17,TO,38.31,,139,0,0.0,,,0.0,
2024,17,TO,46.51,43.86805755395683,139,79,0.0,49.5,-2.9921582733812926,56.83,8.199999999999996
2023,21,MA,61.21,,217,0,0.0,,,0.0,
2024,21,MA,63.31,62.43442396313364,217,112,0.0,60.3,3.0086175115207396,51.61,2.1000000000000014
2023,22,PI,59.76,,224,0,0.0,,,0.0,
2024,22,PI,66.0,60.058169642857145,224,131,0.0,57.0,8.995848214285715,58.48,6.240000000000002
2023,23,CE,89.91,,184,0,0.0,,,0.0,
2024,23,CE,90.29,78.93434782608696,184,169,0.0,80.0,10.289130434782606,91.85,0.38000000000000966
2023,24,RN,37.69,,167,0,0.0,,,0.0,
2024,24,RN,42.53,43.12293413173653,167,76,0.0,43.8,-1.266706586826345,45.51,4.840000000000003
2023,25,PB,54.25,,223,0,0.0,,,0.0,
2024,25,PB,59.46,57.07511312217195,221,116,0.0,55.9,3.562262443438918,52.49,5.210000000000001
2023,26,PE,60.44,,185,0,0.0,,,0.0,
2024,26,PE,65.7,63.22221621621622,185,113,0.0,62.4,3.2988108108108136,61.08,5.260000000000005
2023,27,AL,45.82,,102,0,0.0,,,0.0,
2024,27,AL,52.48,50.54578431372549,102,56,0.0,49.7,2.7769607843137223,54.9,6.659999999999997
2023,28,SE,30.39,,75,0,0.0,,,0.0,
2024,28,SE,36.91,36.436933333333336,75,40,0.0,38.3,-1.3949333333333271,53.33,6.519999999999996
2023,29,BA,37.48,,417,0,0.0,,,0.0,
2024,29,BA,36.56,43.739140049140055,407,77,0.0,43.4,-6.835135135135133,18.92,-0.9199999999999946
2023,31,MG,63.35,,848,0,0.0,,,0.0,
2024,31,MG,75.63,64.66545774647888,852,687,0.0,63.2,12.428485915492956,80.63,12.279999999999994
2023,32,ES,73.73,,78,0,0.0,,,0.0,
2024,32,ES,78.62,73.54012820512821,78,60,0.0,69.9,8.720128205128205,76.92,4.890000000000001
2023,33,RJ,55.69,,92,0,0.0,,,0.0,
2024,33,RJ,58.74,59.16989130434783,92,38,0.0,56.7,2.0428260869565236,41.3,3.0500000000000043
2023,35,SP,57.49,,79,0,0.0,,,0.0,
2024,35,SP,64.78,62.894937694704055,642,359,0.0,56.6,8.181137071651087,55.92,7.289999999999999
2023,41,PR,75.82,,398,0,0.0,,,0.0,
2024,41,PR,74.07,74.59428571428572,399,185,0.0,74.2,-0.1318546365914841,46.37,-1.75
2023,42,SC,66.28,,295,0,0.0,,,0.0,
2024,42,SC,67.1,67.99376712328767,292,150,0.0,64.5,2.596404109589045,51.37,0.8199999999999932
2023,43,RS,73.81,,488,0,0.0,,,0.0,
2024,43,RS,53.84,71.45075313807531,478,50,0.0,66.2,-12.359518828451883,10.46,-19.97
2023,50,MS,50.28,,79,0,0.0,,,0.0,
2024,50,MS,59.02,54.710506329113926,79,52,0.0,52.8,6.222025316455699,65.82,8.740000000000002
2023,51,MT,57.6,,141,0,0.0,,,0.0,
2024,51,MT,65.57,60.89382978723405,141,88,0.0,59.2,6.370283687943257,62.41,7.969999999999992
2023,52,GO,72.7,,245,0,0.0,,,0.0,
2024,52,GO,80.26,71.84216326530613,245,198,0.0,68.9,11.357795918367344,80.82,7.560000000000002
2024,53,DF,59.13,59.9,1,0,0.0,59.9,-0.769999999999996,0.0,
